,piece,file,rank,index,probability,count
579,r,a,7,99,0.008410792309190989,122992
532,q,e,6,244,0.008434727014767099,123342
424,q,d,5,328,0.008454011548974134,123624
261,R,f,3,549,0.00863372699541418,126252
415,N,c,5,319,0.008658413934594109,126613
546,P,f,6,258,0.008715446918738323,127447
724,q,e,8,52,0.008816930070381028,128931
689,k,b,8,17,0.008834983676872722,129195
380,B,h,4,476,0.008836351374334214,129215
521,k,d,6,233,0.009039112523000397,132180
592,q,b,7,112,0.009042326612034903,132227
428,B,d,5,332,0.00908185306867202,132805
274,Q,g,3,562,0.009216024189644383,134767
326,b,d,4,422,0.009216092574517458,134768
508,q,c,6,220,0.009302667823829899,136034
361,n,g,4,457,0.009401073656184245,137473
239,K,d,3,527,0.009553708692886749,139705
166,Q,f,2,646,0.009685554728174575,141633
313,n,c,4,409,0.009773018980836986,142912
700,q,c,8,28,0.009792235130170949,143193
494,b,b,6,206,0.009862398009945485,144219
334,Q,d,4,430,0.009989115179752716,146072
295,N,a,4,391,0.010184353992380693,148927
226,Q,c,3,514,0.010213554333183548,149354
517,n,d,6,229,0.010271955014789254,150208
249,R,e,3,537,0.010291923397727037,150500
522,P,d,6,234,0.010435668400929844,152602
601,n,c,7,121,0.010521628186384612,153859
557,k,g,6,269,0.01055000790871057,154274
301,n,b,4,397,0.010583721651136349,154767
481,n,a,6,193,0.010722679713223932,156799
165,R,f,2,645,0.01084324224445445,158562
733,n,f,8,61,0.010890017497637473,159246
237,R,d,3,525,0.01090157454118708,159415
434,b,e,5,338,0.010993210271107043,160755
355,N,f,4,451,0.011009964565010319,161000
422,b,d,5,326,0.011037181744494008,161398
275,K,g,3,563,0.01120807554230743,163897
533,k,e,6,245,0.01122517176057608,164147
463,N,g,5,367,0.011298411959638974,165218
143,K,d,2,623,0.01136973738225578,166261
445,n,f,5,349,0.011472930155725349,167770
344,B,e,4,440,0.011476417784252154,167821
164,B,f,2,644,0.011644097493031068,170273
721,n,e,8,49,0.011868057952350379,173548
617,k,d,7,137,0.011870656577527212,173586
403,N,b,5,307,0.012084701230250705,176716
469,n,h,5,373,0.012127510160795404,177342
554,b,g,6,266,0.012276178874859581,179516
325,n,d,4,421,0.012286778530186143,179671
385,n,a,5,289,0.012326099832204037,180246
235,N,d,3,523,0.01239783556405929,181295
482,b,a,6,194,0.01290764479283042,188750
639,r,f,7,159,0.012922552695160683,188968
251,K,e,3,539,0.012945188088148376,189299
129,R,c,2,609,0.01300208430254644,190131
627,r,e,7,147,0.013099122437439296,191550
332,B,d,4,428,0.01338695436821028,195759
529,n,e,6,241,0.013397348868917618,195911
603,r,c,7,123,0.013531246450397681,197869
263,K,f,3,551,0.013576790775865365,198535
272,B,g,3,560,0.014253185555446215,208426
545,k,f,6,257,0.014277257030768474,208778
153,R,e,2,633,0.014307072835428999,209214
81,R,g,1,753,0.014751711280160036,215716
224,B,c,3,512,0.014863041853525483,217344
544,q,f,6,256,0.01490509855046636,217959
250,Q,e,3,538,0.015111620867151648,220979
520,q,d,6,232,0.015232593707620612,222748
427,N,d,5,331,0.015362114657223902,224642
247,N,e,3,535,0.01547720639860845,226325
747,r,g,8,75,0.01566150363154449,229020
615,r,d,7,135,0.015759704309279615,230456
319,N,c,4,415,0.01580128231210897,231064
362,b,g,4,458,0.01585421220386871,231838
404,B,b,5,308,0.0158601616878262,231925
553,n,g,6,265,0.015944138311961807,233153
388,q,a,5,292,0.016242159588820904,237511
155,K,e,2,635,0.01726629144798609,252487
701,k,c,8,29,0.017520888330442817,256210
71,K,f,1,743,0.01825041815640263,266878
302,b,b,4,398,0.01857593015223772,271638
337,n,e,4,433,0.01876761295146582,274441
141,R,d,2,621,0.019082867216339717,279051
262,Q,f,3,550,0.019580640707449717,286330
506,b,c,6,218,0.01966215547615464,287522
128,B,c,2,608,0.019774922131854653,289171
360,p,g,4,456,0.01982518501356448,289906
214,Q,b,3,502,0.019986915238385906,292271
372,p,h,4,468,0.020213200783389753,295580
410,b,c,5,314,0.020855266356687156,304969
343,N,e,4,439,0.021050231629822835,307820
271,N,g,3,559,0.02150779481556497,314511
